County,Year,Population
Alameda,2009,"1,497,799"
Alpine,2009,"1,194"
Amador,2009,"37,884"
Butte,2009,"218,887"
Calaveras,2009,"45,632"
Colusa,2009,"21,221"
Contra Costa,2009,"1,038,390"
Del Norte,2009,"28,565"
El Dorado,2009,"179,150"
Fresno,2009,"918,560"
Glenn,2009,"28,088"
Humboldt,2009,"133,484"
Imperial,2009,"171,670"
Inyo,2009,"18,416"
Kern,2009,"825,503"
Kings,2009,"151,816"
Lake,2009,"64,384"
Lassen,2009,"34,947"
Los Angeles,2009,"9,801,096"
Madera,2009,"149,632"
Marin,2009,"250,760"
Mariposa,2009,"18,334"
Mendocino,2009,"87,677"
Merced,2009,"253,026"
Modoc,2009,"9,628"
Mono,2009,"14,074"
Monterey,2009,"412,233"
Napa,2009,"135,225"
Nevada,2009,"98,558"
Orange,2009,"3,006,995"
Placer,2009,"340,995"
Plumas,2009,"20,216"
Riverside,2009,"2,140,626"
Sacramento,2009,"1,406,168"
San Benito,2009,"55,068"
San Bernardino,2009,"2,019,432"
San Diego,2009,"3,064,436"
San Francisco,2009,"800,239"
San Joaquin,2009,"677,833"
San Luis Obispo,2009,"267,537"
San Mateo,2009,"713,818"
Santa Barbara,2009,"421,197"
Santa Clara,2009,"1,767,204"
Santa Cruz,2009,"260,892"
Shasta,2009,"176,756"
Sierra,2009,"3,264"
Siskiyou,2009,"44,996"
Solano,2009,"412,832"
Sonoma,2009,"478,622"
Stanislaus,2009,"511,226"
Sutter,2009,"93,918"
Tehama,2009,"62,921"
Trinity,2009,"13,750"
Tulare,2009,"434,933"
Tuolumne,2009,"55,661"
Ventura,2009,"815,284"
Yolo,2009,"198,642"
Yuba,2009,"71,609"
Alameda,2010,"1,509,240"
Alpine,2010,"1,178"
Amador,2010,"38,011"
Butte,2010,"219,967"
Calaveras,2010,"45,602"
Colusa,2010,"21,380"
Contra Costa,2010,"1,047,948"
Del Norte,2010,"28,581"
El Dorado,2010,"180,682"
Fresno,2010,"929,758"
Glenn,2010,"28,120"
Humboldt,2010,"134,353"
Imperial,2010,"174,244"
Inyo,2010,"18,525"
Kern,2010,"837,074"
Kings,2010,"152,717"
Lake,2010,"64,580"
Lassen,2010,"34,794"
Los Angeles,2010,"9,822,121"
Madera,2010,"150,749"
Marin,2010,"252,279"
Mariposa,2010,"18,277"
Mendocino,2010,"87,807"
Merced,2010,"255,399"
Modoc,2010,"9,666"
Mono,2010,"14,160"
Monterey,2010,"415,108"
Napa,2010,"136,316"
Nevada,2010,"98,682"
Orange,2010,"3,025,097"
Placer,2010,"347,133"
Plumas,2010,"20,045"
Riverside,2010,"2,179,692"
Sacramento,2010,"1,417,259"
San Benito,2010,"55,272"
San Bernardino,2010,"2,033,141"
San Diego,2010,"3,091,579"
San Francisco,2010,"804,989"
San Joaquin,2010,"684,057"
San Luis Obispo,2010,"269,333"
San Mateo,2010,"718,614"
Santa Barbara,2010,"423,740"
Santa Clara,2010,"1,781,427"
Santa Cruz,2010,"262,552"
Shasta,2010,"177,248"
Sierra,2010,"3,247"
Siskiyou,2010,"44,962"
Solano,2010,"413,268"
Sonoma,2010,"482,961"
Stanislaus,2010,"514,003"
Sutter,2010,"94,765"
Tehama,2010,"63,418"
Trinity,2010,"13,811"
Tulare,2010,"441,245"
Tuolumne,2010,"55,291"
Ventura,2010,"822,108"
Yolo,2010,"200,484"
Yuba,2010,"72,083"
Alameda,2011,"1,525,457"
Alpine,2011,"1,169"
Amador,2011,"37,716"
Butte,2011,"220,711"
Calaveras,2011,"45,540"
Colusa,2011,"21,520"
Contra Costa,2011,"1,059,557"
Del Norte,2011,"28,363"
El Dorado,2011,"181,227"
Fresno,2011,"938,164"
Glenn,2011,"28,234"
Humboldt,2011,"135,691"
Imperial,2011,"176,355"
Inyo,2011,"18,550"
Kern,2011,"845,564"
Kings,2011,"151,336"
Lake,2011,"64,821"
Lassen,2011,"34,653"
Los Angeles,2011,"9,871,802"
Madera,2011,"151,185"
Marin,2011,"254,091"
Mariposa,2011,"18,251"
Mendocino,2011,"87,442"
Merced,2011,"258,788"
Modoc,2011,"9,718"
Mono,2011,"14,277"
Monterey,2011,"417,892"
Napa,2011,"136,901"
Nevada,2011,"98,429"
Orange,2011,"3,034,764"
Placer,2011,"353,263"
Plumas,2011,"19,991"
Riverside,2011,"2,212,675"
Sacramento,2011,"1,429,290"
San Benito,2011,"55,661"
San Bernardino,2011,"2,054,451"
San Diego,2011,"3,119,963"
San Francisco,2011,"815,365"
San Joaquin,2011,"691,689"
San Luis Obispo,2011,"270,024"
San Mateo,2011,"726,326"
Santa Barbara,2011,"424,400"
Santa Clara,2011,"1,803,329"
Santa Cruz,2011,"264,802"
Shasta,2011,"177,603"
Sierra,2011,"3,241"
Siskiyou,2011,"44,964"
Solano,2011,"413,527"
Sonoma,2011,"485,538"
Stanislaus,2011,"517,628"
Sutter,2011,"95,111"
Tehama,2011,"63,529"
Trinity,2011,"13,751"
Tulare,2011,"445,549"
Tuolumne,2011,"55,259"
Ventura,2011,"829,563"
Yolo,2011,"202,736"
Yuba,2011,"72,532"
Alameda,2012,"1,543,365"
Alpine,2012,"1,166"
Amador,2012,"37,651"
Butte,2012,"221,100"
Calaveras,2012,"45,496"
Colusa,2012,"21,619"
Contra Costa,2012,"1,070,440"
Del Norte,2012,"28,211"
El Dorado,2012,"181,187"
Fresno,2012,"947,416"
Glenn,2012,"28,312"
Humboldt,2012,"135,336"
Imperial,2012,"178,933"
Inyo,2012,"18,543"
Kern,2012,"853,807"
Kings,2012,"151,383"
Lake,2012,"64,729"
Lassen,2012,"33,893"
Los Angeles,2012,"9,949,794"
Madera,2012,"151,379"
Marin,2012,"255,992"
Mariposa,2012,"18,249"
Mendocino,2012,"87,654"
Merced,2012,"262,100"
Modoc,2012,"9,659"
Mono,2012,"14,256"
Monterey,2012,"423,072"
Napa,2012,"138,120"
Nevada,2012,"98,130"
Orange,2012,"3,068,570"
Placer,2012,"358,371"
Plumas,2012,"19,971"
Riverside,2012,"2,240,166"
Sacramento,2012,"1,440,656"
San Benito,2012,"55,775"
San Bernardino,2012,"2,070,638"
San Diego,2012,"3,153,521"
San Francisco,2012,"825,465"
San Joaquin,2012,"698,555"
San Luis Obispo,2012,"271,504"
San Mateo,2012,"735,206"
Santa Barbara,2012,"428,194"
Santa Clara,2012,"1,828,843"
Santa Cruz,2012,"267,234"
Shasta,2012,"177,591"
Sierra,2012,"3,233"
Siskiyou,2012,"44,841"
Solano,2012,"416,133"
Sonoma,2012,"487,954"
Stanislaus,2012,"521,675"
Sutter,2012,"95,113"
Tehama,2012,"63,590"
Trinity,2012,"13,740"
Tulare,2012,"450,599"
Tuolumne,2012,"54,991"
Ventura,2012,"834,487"
Yolo,2012,"204,487"
Yuba,2012,"72,882"
Alameda,2013,"1,567,167"
Alpine,2013,"1,164"
Amador,2013,"37,304"
Butte,2013,"222,185"
Calaveras,2013,"45,424"
Colusa,2013,"21,698"
Contra Costa,2013,"1,083,937"
Del Norte,2013,"27,792"
El Dorado,2013,"180,729"
Fresno,2013,"955,945"
Glenn,2013,"28,424"
Humboldt,2013,"135,021"
Imperial,2013,"180,179"
Inyo,2013,"18,557"
Kern,2013,"863,724"
Kings,2013,"150,498"
Lake,2013,"64,763"
Lassen,2013,"32,795"
Los Angeles,2013,"10,020,599"
Madera,2013,"151,338"
Marin,2013,"257,522"
Mariposa,2013,"18,195"
Mendocino,2013,"88,206"
Merced,2013,"264,387"
Modoc,2013,"9,646"
Mono,2013,"14,031"
Monterey,2013,"427,147"
Napa,2013,"138,838"
Nevada,2013,"97,773"
Orange,2013,"3,102,152"
Placer,2013,"362,305"
Plumas,2013,"19,920"
Riverside,2013,"2,265,789"
Sacramento,2013,"1,452,468"
San Benito,2013,"55,998"
San Bernardino,2013,"2,085,944"
San Diego,2013,"3,193,688"
San Francisco,2013,"839,674"
San Joaquin,2013,"704,739"
San Luis Obispo,2013,"273,304"
San Mateo,2013,"745,799"
Santa Barbara,2013,"433,073"
Santa Clara,2013,"1,857,211"
Santa Cruz,2013,"269,192"
Shasta,2013,"178,430"
Sierra,2013,"3,215"
Siskiyou,2013,"44,825"
Solano,2013,"419,272"
Sonoma,2013,"491,980"
Stanislaus,2013,"525,744"
Sutter,2013,"95,721"
Tehama,2013,"63,641"
Trinity,2013,"13,731"
Tulare,2013,"455,047"
Tuolumne,2013,"54,938"
Ventura,2013,"841,047"
Yolo,2013,"207,213"
Yuba,2013,"73,343"
Alameda,2014,"1,588,576"
Alpine,2014,"1,163"
Amador,2014,"37,815"
Butte,2014,"223,137"
Calaveras,2014,"45,358"
Colusa,2014,"21,794"
Contra Costa,2014,"1,098,018"
Del Norte,2014,"27,343"
El Dorado,2014,"182,030"
Fresno,2014,"964,611"
Glenn,2014,"28,497"
Humboldt,2014,"134,977"
Imperial,2014,"182,006"
Inyo,2014,"18,613"
Kern,2014,"871,803"
Kings,2014,"149,754"
Lake,2014,"64,851"
Lassen,2014,"31,982"
Los Angeles,2014,"10,088,458"
Madera,2014,"153,224"
Marin,2014,"260,622"
Mariposa,2014,"18,218"
Mendocino,2014,"88,194"
Merced,2014,"266,528"
Modoc,2014,"9,636"
Mono,2014,"13,935"
Monterey,2014,"429,308"
Napa,2014,"140,189"
Nevada,2014,"97,842"
Orange,2014,"3,126,918"
Placer,2014,"367,108"
Plumas,2014,"19,893"
Riverside,2014,"2,291,262"
Sacramento,2014,"1,465,964"
San Benito,2014,"56,219"
San Bernardino,2014,"2,100,689"
San Diego,2014,"3,230,269"
San Francisco,2014,"848,448"
San Joaquin,2014,"712,134"
San Luis Obispo,2014,"275,625"
San Mateo,2014,"752,700"
Santa Barbara,2014,"438,512"
Santa Clara,2014,"1,880,197"
Santa Cruz,2014,"271,134"
Shasta,2014,"178,831"
Sierra,2014,"3,204"
Siskiyou,2014,"44,809"
Solano,2014,"423,371"
Sonoma,2014,"495,864"
Stanislaus,2014,"529,850"
Sutter,2014,"96,036"
Tehama,2014,"63,743"
Trinity,2014,"13,722"
Tulare,2014,"458,864"
Tuolumne,2014,"55,082"
Ventura,2014,"847,232"
Yolo,2014,"208,820"
Yuba,2014,"73,646"
Alameda,2015,"1,611,770"
Alpine,2015,"1,163"
Amador,2015,"37,765"
Butte,2015,"224,285"
Calaveras,2015,"45,267"
Colusa,2015,"21,873"
Contra Costa,2015,"1,112,328"
Del Norte,2015,"26,953"
El Dorado,2015,"183,172"
Fresno,2015,"975,043"
Glenn,2015,"28,564"
Humboldt,2015,"135,183"
Imperial,2015,"184,569"
Inyo,2015,"18,563"
Kern,2015,"880,346"
Kings,2015,"149,730"
Lake,2015,"65,146"
Lassen,2015,"31,608"
Los Angeles,2015,"10,149,661"
Madera,2015,"154,827"
Marin,2015,"262,409"
Mariposa,2015,"18,172"
Mendocino,2015,"88,215"
Merced,2015,"269,111"
Modoc,2015,"9,617"
Mono,2015,"13,868"
Monterey,2015,"432,740"
Napa,2015,"140,884"
Nevada,2015,"98,217"
Orange,2015,"3,152,314"
Placer,2015,"370,387"
Plumas,2015,"19,860"
Riverside,2015,"2,317,895"
Sacramento,2015,"1,481,969"
San Benito,2015,"56,452"
San Bernardino,2015,"2,120,672"
San Diego,2015,"3,264,449"
San Francisco,2015,"858,224"
San Joaquin,2015,"723,856"
San Luis Obispo,2015,"276,669"
San Mateo,2015,"760,343"
Santa Barbara,2015,"442,987"
Santa Clara,2015,"1,905,156"
Santa Cruz,2015,"273,966"
Shasta,2015,"179,004"
Sierra,2015,"3,195"
Siskiyou,2015,"44,731"
Solano,2015,"427,148"
Sonoma,2015,"500,083"
Stanislaus,2015,"534,905"
Sutter,2015,"96,390"
Tehama,2015,"63,839"
Trinity,2015,"13,676"
Tulare,2015,"462,033"
Tuolumne,2015,"54,664"
Ventura,2015,"851,426"
Yolo,2015,"211,078"
Yuba,2015,"74,044"
Alameda,2016,"1,629,738"
Alpine,2016,"1,160"
Amador,2016,"37,667"
Butte,2016,"224,432"
Calaveras,2016,"45,246"
Colusa,2016,"21,965"
Contra Costa,2016,"1,127,279"
Del Norte,2016,"26,956"
El Dorado,2016,"184,461"
Fresno,2016,"984,537"
Glenn,2016,"28,639"
Humboldt,2016,"135,417"
Imperial,2016,"186,019"
Inyo,2016,"18,632"
Kern,2016,"886,153"
Kings,2016,"149,744"
Lake,2016,"64,741"
Lassen,2016,"30,822"
Los Angeles,2016,"10,180,169"
Madera,2016,"154,906"
Marin,2016,"263,210"
Mariposa,2016,"18,167"
Mendocino,2016,"88,721"
Merced,2016,"271,500"
Modoc,2016,"9,625"
Mono,2016,"13,676"
Monterey,2016,"438,175"
Napa,2016,"141,711"
Nevada,2016,"98,520"
Orange,2016,"3,172,222"
Placer,2016,"375,618"
Plumas,2016,"19,847"
Riverside,2016,"2,346,717"
Sacramento,2016,"1,495,611"
San Benito,2016,"56,624"
San Bernardino,2016,"2,133,906"
San Diego,2016,"3,284,477"
San Francisco,2016,"865,709"
San Joaquin,2016,"735,319"
San Luis Obispo,2016,"278,141"
San Mateo,2016,"766,589"
Santa Barbara,2016,"447,073"
Santa Clara,2016,"1,924,582"
Santa Cruz,2016,"275,737"
Shasta,2016,"177,874"
Sierra,2016,"3,195"
Siskiyou,2016,"44,718"
Solano,2016,"430,907"
Sonoma,2016,"502,475"
Stanislaus,2016,"541,006"
Sutter,2016,"96,614"
Tehama,2016,"63,946"
Trinity,2016,"13,647"
Tulare,2016,"466,431"
Tuolumne,2016,"54,952"
Ventura,2016,"853,961"
Yolo,2016,"215,413"
Yuba,2016,"74,328"
Alameda,2017,"1,646,405"
Alpine,2017,"1,156"
Amador,2017,"38,382"
Butte,2017,"226,403"
Calaveras,2017,"45,175"
Colusa,2017,"22,050"
Contra Costa,2017,"1,139,313"
Del Norte,2017,"27,060"
El Dorado,2017,"186,223"
Fresno,2017,"995,233"
Glenn,2017,"28,730"
Humboldt,2017,"136,430"
Imperial,2017,"187,921"
Inyo,2017,"18,598"
Kern,2017,"896,101"
Kings,2017,"149,559"
Lake,2017,"64,740"
Lassen,2017,"30,661"
Los Angeles,2017,"10,231,271"
Madera,2017,"156,963"
Marin,2017,"263,262"
Mariposa,2017,"18,137"
Mendocino,2017,"89,092"
Merced,2017,"275,104"
Modoc,2017,"9,562"
Mono,2017,"13,759"
Monterey,2017,"442,149"
Napa,2017,"141,784"
Nevada,2017,"98,613"
Orange,2017,"3,198,968"
Placer,2017,"383,173"
Plumas,2017,"19,818"
Riverside,2017,"2,382,640"
Sacramento,2017,"1,513,415"
San Benito,2017,"56,879"
San Bernardino,2017,"2,155,590"
San Diego,2017,"3,309,509"
San Francisco,2017,"874,008"
San Joaquin,2017,"747,263"
San Luis Obispo,2017,"279,210"
San Mateo,2017,"770,256"
Santa Barbara,2017,"450,025"
Santa Clara,2017,"1,937,473"
Santa Cruz,2017,"276,504"
Shasta,2017,"178,148"
Sierra,2017,"3,203"
Siskiyou,2017,"44,615"
Solano,2017,"436,640"
Sonoma,2017,"504,613"
Stanislaus,2017,"549,976"
Sutter,2017,"96,919"
Tehama,2017,"63,949"
Trinity,2017,"13,634"
Tulare,2017,"470,716"
Tuolumne,2017,"54,725"
Ventura,2017,"855,910"
Yolo,2017,"218,673"
Yuba,2017,"74,645"
Alameda,2018,"1,660,202"
Alpine,2018,"1,154"
Amador,2018,"38,094"
Butte,2018,"227,621"
Calaveras,2018,"45,157"
Colusa,2018,"22,098"
Contra Costa,2018,"1,149,363"
Del Norte,2018,"27,221"
El Dorado,2018,"188,399"
Fresno,2018,"1,007,229"
Glenn,2018,"28,796"
Humboldt,2018,"136,002"
Imperial,2018,"190,624"
Inyo,2018,"18,577"
Kern,2018,"905,801"
Kings,2018,"151,662"
Lake,2018,"65,081"
Lassen,2018,"30,911"
Los Angeles,2018,"10,283,729"
Madera,2018,"158,894"
Marin,2018,"263,886"
Mariposa,2018,"18,129"
Mendocino,2018,"89,299"
Merced,2018,"279,977"
Modoc,2018,"9,612"
Mono,2018,"13,822"
Monterey,2018,"443,281"
Napa,2018,"141,294"
Nevada,2018,"99,155"
Orange,2018,"3,284,468"
Placer,2018,"389,532"
Plumas,2018,"19,773"
Riverside,2018,"2,415,955"
Sacramento,2018,"1,529,501"
San Benito,2018,"57,088"
San Bernardino,2018,"2,174,938"
San Diego,2018,"3,337,456"
San Francisco,2018,"883,963"
San Joaquin,2018,"758,744"
San Luis Obispo,2018,"280,101"
San Mateo,2018,"774,155"
Santa Barbara,2018,"453,457"
Santa Clara,2018,"1,956,598"
Santa Cruz,2018,"276,864"
Shasta,2018,"178,271"
Sierra,2018,"3,207"
Siskiyou,2018,"44,612"
Solano,2018,"439,793"
Sonoma,2018,"503,332"
Stanislaus,2018,"555,624"
Sutter,2018,"97,238"
Tehama,2018,"64,039"
Trinity,2018,"13,635"
Tulare,2018,"475,834"
Tuolumne,2018,"54,740"
Ventura,2018,"859,073"
Yolo,2018,"221,270"
Yuba,2018,"74,727"
Alameda,2019,"1,669,301"
Alpine,2019,"1,162"
Amador,2019,"38,294"
Butte,2019,"226,466"
Calaveras,2019,"45,117"
Colusa,2019,"22,117"
Contra Costa,2019,"1,155,879"
Del Norte,2019,"27,401"
El Dorado,2019,"191,848"
Fresno,2019,"1,018,241"
Glenn,2019,"29,132"
Humboldt,2019,"135,333"
Imperial,2019,"190,266"
Inyo,2019,"18,593"
Kern,2019,"916,464"
Kings,2019,"153,710"
Lake,2019,"65,071"
Lassen,2019,"30,150"
Los Angeles,2019,"10,253,716"
Madera,2019,"159,536"
Marin,2019,"262,879"
Mariposa,2019,"18,068"
Mendocino,2019,"89,009"
Merced,2019,"282,928"
Modoc,2019,"9,602"
Mono,2019,"13,616"
Monterey,2019,"445,414"
Napa,2019,"140,779"
Nevada,2019,"98,904"
Orange,2019,"3,222,498"
Placer,2019,"396,691"
Plumas,2019,"19,779"
Riverside,2019,"2,440,124"
Sacramento,2019,"1,546,174"
San Benito,2019,"62,296"
San Bernardino,2019,"2,192,203"
San Diego,2019,"3,351,786"
San Francisco,2019,"883,869"
San Joaquin,2019,"770,385"
San Luis Obispo,2019,"280,393"
San Mateo,2019,"774,485"
Santa Barbara,2019,"454,593"
Santa Clara,2019,"1,954,286"
Santa Cruz,2019,"274,871"
Shasta,2019,"178,773"
Sierra,2019,"3,213"
Siskiyou,2019,"44,584"
Solano,2019,"441,307"
Sonoma,2019,"500,675"
Stanislaus,2019,"558,972"
Sutter,2019,"97,490"
Tehama,2019,"64,387"
Trinity,2019,"13,688"
Tulare,2019,"479,112"
Tuolumne,2019,"54,590"
Ventura,2019,"856,598"
Yolo,2019,"222,581"
Yuba,2019,"77,916"